2023-10-09T14:49:39,950 [-] [Framework Event Dispatcher: Equinox Container: 164d1c50-1fa8-4108-9495-0eb8e846a070]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-10-09T14:49:39,955 [-] [Framework Event Dispatcher: Equinox Container: 164d1c50-1fa8-4108-9495-0eb8e846a070]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-10-09T14:49:39,955 [-] [Framework Event Dispatcher: Equinox Container: 164d1c50-1fa8-4108-9495-0eb8e846a070]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-10-09T15:12:52,301 [-] [PassThroughMessageProcessor-10]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /customers/, HEALTH CHECK URL = /customers/
2023-10-09T15:12:53,799 [-] [PassThroughMessageProcessor-11]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /customers, HEALTH CHECK URL = /customers
2023-10-09T15:28:39,017 [-] [Framework Event Dispatcher: Equinox Container: d412692e-512d-4e08-a990-796ab5253c4f]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-10-09T15:28:39,023 [-] [Framework Event Dispatcher: Equinox Container: d412692e-512d-4e08-a990-796ab5253c4f]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-10-09T15:28:39,024 [-] [Framework Event Dispatcher: Equinox Container: d412692e-512d-4e08-a990-796ab5253c4f]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-10-09T15:44:51,497 [-] [Framework Event Dispatcher: Equinox Container: 524428e2-7021-4a6a-be5c-52d37265a4da]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-10-09T15:44:51,504 [-] [Framework Event Dispatcher: Equinox Container: 524428e2-7021-4a6a-be5c-52d37265a4da]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-10-09T15:44:51,506 [-] [Framework Event Dispatcher: Equinox Container: 524428e2-7021-4a6a-be5c-52d37265a4da]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-10-09T18:26:59,101 [-] [Framework Event Dispatcher: Equinox Container: 01a089fb-73c1-4366-b5bc-0f46109979e8]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-10-09T18:26:59,108 [-] [Framework Event Dispatcher: Equinox Container: 01a089fb-73c1-4366-b5bc-0f46109979e8]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-10-09T18:26:59,110 [-] [Framework Event Dispatcher: Equinox Container: 01a089fb-73c1-4366-b5bc-0f46109979e8]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-10-10T15:35:02,809 [-] [Framework Event Dispatcher: Equinox Container: e2d56c82-a2c6-4128-8a22-d844a88cb54f]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-10-10T15:35:02,818 [-] [Framework Event Dispatcher: Equinox Container: e2d56c82-a2c6-4128-8a22-d844a88cb54f]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-10-10T15:35:02,819 [-] [Framework Event Dispatcher: Equinox Container: e2d56c82-a2c6-4128-8a22-d844a88cb54f]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-10-12T14:51:52,587 [-] [Framework Event Dispatcher: Equinox Container: a404c9d2-81ad-49c0-b08f-7e9eb12410a4]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-10-12T14:51:52,606 [-] [Framework Event Dispatcher: Equinox Container: a404c9d2-81ad-49c0-b08f-7e9eb12410a4]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-10-12T14:51:52,608 [-] [Framework Event Dispatcher: Equinox Container: a404c9d2-81ad-49c0-b08f-7e9eb12410a4]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-10-12T14:51:59,174 [-] [PassThroughMessageProcessor-1]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /customers/v1/Customers, HEALTH CHECK URL = /customers/v1/Customers
2023-10-27T15:01:22,111 [-] [Framework Event Dispatcher: Equinox Container: 1dbc2fba-fd6c-44be-a5f8-12bd077452d6]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-10-27T15:01:22,116 [-] [Framework Event Dispatcher: Equinox Container: 1dbc2fba-fd6c-44be-a5f8-12bd077452d6]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-10-27T15:01:22,116 [-] [Framework Event Dispatcher: Equinox Container: 1dbc2fba-fd6c-44be-a5f8-12bd077452d6]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-10-27T15:12:57,881 [-] [PassThroughMessageProcessor-4]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /invoices/v1/Invoices, HEALTH CHECK URL = /invoices/v1/Invoices
2023-10-27T15:13:20,222 [-] [PassThroughMessageProcessor-5]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /invoices/v1/Invoices, HEALTH CHECK URL = /invoices/v1/Invoices
2023-10-27T15:14:47,284 [-] [PassThroughMessageProcessor-9]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /invoices/v1/Invoices, HEALTH CHECK URL = /invoices/v1/Invoices
2023-10-27T15:26:45,938 [-] [PassThroughMessageProcessor-29]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /invoices/v1/Invoice, HEALTH CHECK URL = /invoices/v1/Invoice
2023-10-27T15:26:49,026 [-] [PassThroughMessageProcessor-30]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /invoices/v1/Invoices, HEALTH CHECK URL = /invoices/v1/Invoices
2023-10-27T18:39:45,993 [-] [Framework Event Dispatcher: Equinox Container: 1145f317-0369-4e76-85fa-7cb2fe9d116b]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-10-27T18:39:46,003 [-] [Framework Event Dispatcher: Equinox Container: 1145f317-0369-4e76-85fa-7cb2fe9d116b]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-10-27T18:39:46,005 [-] [Framework Event Dispatcher: Equinox Container: 1145f317-0369-4e76-85fa-7cb2fe9d116b]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-10-30T18:28:27,183 [-] [Framework Event Dispatcher: Equinox Container: cf28b109-be38-41a7-a77f-a050edbc1bf2]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-10-30T18:28:27,192 [-] [Framework Event Dispatcher: Equinox Container: cf28b109-be38-41a7-a77f-a050edbc1bf2]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-10-30T18:28:27,193 [-] [Framework Event Dispatcher: Equinox Container: cf28b109-be38-41a7-a77f-a050edbc1bf2]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-11-13T14:16:43,489 [-] [Framework Event Dispatcher: Equinox Container: c453a98a-963d-4932-a30a-18d7d9959c8e]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-11-13T14:16:43,494 [-] [Framework Event Dispatcher: Equinox Container: c453a98a-963d-4932-a30a-18d7d9959c8e]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-11-13T14:16:43,495 [-] [Framework Event Dispatcher: Equinox Container: c453a98a-963d-4932-a30a-18d7d9959c8e]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-11-13T14:50:31,987 [-] [PassThroughMessageProcessor-16]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /Invoices, HEALTH CHECK URL = /Invoices
2023-11-14T17:59:16,536 [-] [Framework Event Dispatcher: Equinox Container: 15819b20-f5f1-4250-9e73-26915b682235]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-11-14T17:59:16,541 [-] [Framework Event Dispatcher: Equinox Container: 15819b20-f5f1-4250-9e73-26915b682235]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-11-14T17:59:16,542 [-] [Framework Event Dispatcher: Equinox Container: 15819b20-f5f1-4250-9e73-26915b682235]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-11-16T14:52:38,334 [-] [Framework Event Dispatcher: Equinox Container: 4537ef58-996e-4553-94bb-e90e84a86e59]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-11-16T14:52:38,340 [-] [Framework Event Dispatcher: Equinox Container: 4537ef58-996e-4553-94bb-e90e84a86e59]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-11-16T14:52:38,341 [-] [Framework Event Dispatcher: Equinox Container: 4537ef58-996e-4553-94bb-e90e84a86e59]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-11-16T19:00:24,366 [-] [Framework Event Dispatcher: Equinox Container: d8560c53-1e00-4bd6-b55c-63ec64f2b231]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-11-16T19:00:24,372 [-] [Framework Event Dispatcher: Equinox Container: d8560c53-1e00-4bd6-b55c-63ec64f2b231]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-11-16T19:00:24,373 [-] [Framework Event Dispatcher: Equinox Container: d8560c53-1e00-4bd6-b55c-63ec64f2b231]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-11-17T16:29:40,178 [-] [Framework Event Dispatcher: Equinox Container: 05859aab-ed9f-4806-ac00-d5911d61ce85]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2023-11-17T16:29:40,189 [-] [Framework Event Dispatcher: Equinox Container: 05859aab-ed9f-4806-ac00-d5911d61ce85]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2023-11-17T16:29:40,191 [-] [Framework Event Dispatcher: Equinox Container: 05859aab-ed9f-4806-ac00-d5911d61ce85]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2023-11-17T17:14:17,793 [-] [PassThroughMessageProcessor-19]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /purchases/v1/PurchaseOrderDetails, HEALTH CHECK URL = /purchases/v1/PurchaseOrderDetails
2023-11-17T17:14:29,517 [-] [PassThroughMessageProcessor-20]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /purchases/v1/PurchaseOrderDetails, HEALTH CHECK URL = /purchases/v1/PurchaseOrderDetails
2023-11-17T17:19:39,742 [-] [PassThroughMessageProcessor-21]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /purchases/v1/PurchaseOrderDetails, HEALTH CHECK URL = /purchases/v1/PurchaseOrderDetails
2023-11-17T17:20:08,238 [-] [PassThroughMessageProcessor-22]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /purchases/v1/PurchaseOrderDetails, HEALTH CHECK URL = /purchases/v1/PurchaseOrderDetails
2023-11-17T17:20:32,050 [-] [PassThroughMessageProcessor-23]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /purchases/v1/PurchaseOrderDetails, HEALTH CHECK URL = /purchases/v1/PurchaseOrderDetails
2023-11-17T17:20:44,863 [-] [PassThroughMessageProcessor-24]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /purchases/v1/PurchaseOrderDetails, HEALTH CHECK URL = /purchases/v1/PurchaseOrderDetails
2023-11-17T17:28:24,335 [-] [PassThroughMessageProcessor-25]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /purchases/v1/PurchaseOrderDetails, HEALTH CHECK URL = /purchases/v1/PurchaseOrderDetails
