TID: [2023-10-09 14:48:53,393]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [-1234] [] [2023-10-09 14:48:58,557]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [-1234] [] [2023-10-09 14:48:58,557]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Linux 5.15.0-56-generic, amd64
TID: [-1234] [] [2023-10-09 14:48:58,557]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /home/jospiado/.sdkman/candidates/java/11.0.19-amzn
TID: [-1234] [] [2023-10-09 14:48:58,557]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 11.0.19
TID: [-1234] [] [2023-10-09 14:48:58,557]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 11.0.19+7-LTS,Amazon.com Inc.
TID: [-1234] [] [2023-10-09 14:48:58,557]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /home/jospiado/Desktop/wso2am-4.1.0
TID: [-1234] [] [2023-10-09 14:48:58,558]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /home/jospiado/Desktop/wso2am-4.1.0/tmp
TID: [-1234] [] [2023-10-09 14:48:58,558]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : jospiado, en-US, America/Sao_Paulo
TID: [-1234] [] [2023-10-09 14:48:58,698]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [-1234] [] [2023-10-09 14:48:59,033]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [-1234] [] [2023-10-09 14:48:59,159]  INFO {org.wso2.carbon.event.template.manager.core.internal.ds.TemplateDeployerServiceTrackerDS} - Successfully deployed the execution manager tracker service
TID: [-1234] [] [2023-10-09 14:49:00,281]  INFO {org.wso2.carbon.apimgt.eventing.hub.internal.ServiceComponent} - Eventing Hub ServiceComponent is activated
TID: [-1234] [] [2023-10-09 14:49:00,784]  WARN {org.apache.tomcat.util.digester.Digester} - Match [Server/Service/Engine/Host/Valve] failed to set property [maxDays] to []
TID: [-1234] [] [2023-10-09 14:49:01,396]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} - ConsentManagerComponent is activated.
TID: [-1234] [] [2023-10-09 14:49:01,551]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiverServiceComponent} - Binary Data Receiver server activated
TID: [-1234] [] [2023-10-09 14:49:01,565]  INFO {org.wso2.carbon.databridge.core.internal.DataBridgeDS} - Successfully deployed Agent Server 
TID: [-1234] [] [2023-10-09 14:49:01,919]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 79ms
TID: [-1234] [] [2023-10-09 14:49:01,982]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 3ms
TID: [-1234] [] [2023-10-09 14:49:01,983]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 3ms
TID: [-1234] [] [2023-10-09 14:49:02,040]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 0ms
TID: [-1234] [] [2023-10-09 14:49:02,040]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 0ms
TID: [-1234] [] [2023-10-09 14:49:02,174]  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Registry Mode    : READ-WRITE
TID: [-1234] [] [2023-10-09 14:49:02,344]  INFO {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder} - Creating JMX reporter for Metrics with domain 'org.wso2.carbon.metrics'
TID: [-1234] [] [2023-10-09 14:49:02,346]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} - Started JMX reporter for Metrics
TID: [-1234] [] [2023-10-09 14:49:04,298]  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [-1234] [] [2023-10-09 14:49:04,707]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Carbon UserStoreMgtDSComponent activated successfully.
